Location,Address,FullAddress,Longitude,Latitude,Meal Times,Dates of Service
Hawthorne Academy,"22000 SE 65th Avenue, Hawthorne","22000 SE 65th Ave, Hawthorne, FL, 32640, USA",-82.08803,29.59466,"B (8:00-8:30), L (11:15-11:35)","06/09/25-07/25/25 (M-F) Closed 06/19/25, 07/03/25-07/04/25"
Hawthorne High,"21403 SE 69th Avenue, Hawthorne","21403 SE 69th Ave, Hawthorne, FL, 32640, USA",-82.09383,29.58967,"B (8:30-8:50), L (12:00-12:20)","06/09/25-07/25/25 (M-F) Closed 06/19/25, 07/03/25-07/04/25"
Hidden Oak Elementary,2100 Fort Clarke Blvd. Gainesville,"2100 Fort Clarke Blvd, Gainesville, FL, 32606, USA",-82.44055,29.67149,"B (7:30-8:00), L (11:00-11:30)",06/09/25-07/18/25 (M-F) Closed 07/04/25
High Springs Community School,"19559 High Springs Main Street, High Springs","19559 High Springs Main St, High Springs, FL, 32643, USA",-82.59042,29.8344,"B (7:30-8:00), L (11:00-12:00)",06/9/25-07/18/25 (M-F) Closed 07/04/25
Horizon Center,"2802 NE 8th Avenue, Gainesville","2802 NE 8th Ave, Gainesville, FL, 32641, USA",-82.28846,29.65977,"SPIKE EVENT G&G (10:30-12:30), B (8:15-8:45), L (11:15-11:45)","06/05/25 (TH); 06/09/25-07/02/25 (M-TH) Closed Thursday 06/19/25, Open Friday 06/20/25"
Irby Elementary,"13505 NW 140th Street, Alachua","13505 NW 140th St, Alachua, FL, 32615, USA",-82.49302,29.77943,"B (7:30-8:10), L (11:00-12:10)","06/09/25-07/02/25 (M-TH) Closed Thursday 06/19/25, Open Friday 06/20/25"
Kanapaha Middle,"5005 SW 75th Street, Gainesville","5005 SW 75th St, Gainesville, FL, 32608, USA",-82.42083,29.60762,"B (8:00-8:30), L (11:00-11:30)","06/09/25-07/02/25 (M-TH) Closed Thursday 06/19/25, Open Friday 06/20/25"
Lanier Center,"312 NW 16th Avenue, Gainesville","312 NW 16th Ave, Gainesville, FL, 32601, USA",-82.32772,29.66708,"B (8:30-9:00), L (11:00-11:30)","06/09/25-07/02/25 (M-TH) Closed Thursday 06/19/25, Open Friday 06/20/25"
Legacy Park Multipurpose Center,"15400 Peggy Road, Alachua","15400 Peggy Rd, Alachua, FL, 32615, USA",-82.50801,29.78498,"B (9:30-10:00), L (12:30-1:00)","06/09/25-07/25/25 (M-F) Closed 06/19/25, 06/30/25-07/04/25"
Lewis Place Apartments,"4121 NE 15th Street, Gainesville","4121 NE 15th St, Gainesville, FL, 32609, USA",-82.30537,29.6911,"B (8:30-9:00), L (12:00-12:30)","06/09/25-07/25/25 (M-F) Closed 06/19/25, 07/03/25-07/04/25"
Library Partnership #2,"912 NE 16th Avenue, Gainesville","912 NE 16th Ave, Gainesville, FL, 32601, USA",-82.31442,29.66693,"B (9:30-10:00), L (12:00-12:30)","06/09/25-07/24/25 (M-TH) Closed all day on 06/19/25; 06/30/25-07/03/25. Closed for lunch 6/12, 6/23, 6/26, 7/15, 7/17, and 7/21"
Lincoln Middle,"1001 SE 12th Street, Gainesville","1001 SE 12th St, Gainesville, FL, 32641, USA",-82.30868,29.64218,"B (8:45-9:00), L (12:00-12:15)","06/9/25-07/02/25 (M-TH) Closed Thursday 06/19/25, Open Friday 06/20/25"
Loften Center,"3000 East University Avenue, Gainesville","3000 E University Ave, Gainesville, FL, 32641, USA",-82.28581,29.65518,"B (8:30-9:00), L (11:30-12:00)","06/09/25-07/02/25 (M-TH) Closed Thursday 06/19/25, Open Friday 06/20/25"
Majestic Oaks Apartments,"5800 SW 20th Avenue, Gainesville","5800 SW 20th Ave, Gainesville, FL, 32607, USA",-82.40511,29.64086,"L (12:30-1:00), LS (3:00-3:30)","06/09/25-07/25/25 (M-F) Closed 06/19/25, 07/03/25-07/04/25"
Meadowbrook Elementary,"11525 NW 39th Avenue, Gainesville","11525 NW 39th Ave, Gainesville, FL, 32606, USA",-82.46221,29.68785,"B (7:30-8:00), L (11:00-11:30)",06/09/25-07/18/25 (M-F) Closed 07/04/25
Meizon Church,"3411 NW 83rd Street, Gainesville","3411 NW 83rd St, Gainesville, FL, 32606, USA",-82.4296,29.68471,"L (12:00-12:30), LS (4:00-4:30)","06/09/25-07/25/25 (M-F) Closed 06/19/25, 07/03/25-07/04/25"
Metcalfe Elementary,"1250 NE 18th Avenue, Gainesville","1250 NE 18th Ave, Gainesville, FL, 32609, USA",-82.30854,29.66887,"B (7:30-8:30), L (11:00-12:00)","06/9/25-07/02/25 (M-TH) Closed Thursday 06/19/25, Open Friday 06/20/25"
Mini Faces Academy,"95 NW 253rd Street, Newberry","95 NW 253rd St, Newberry, FL, 32669, USA",-82.61027,29.64691,"B (8:30-9:00), L (11:30-12:00)","06/16/25-07/25/25 (M-F) Closed 06/19/25, 07/03/25-07/04/25"
Newberry Elementary,"25705 SW 15th Avenue, Newberry","25705 SW 15th Ave, Newberry, FL, 32669, USA",-82.61385,29.63766,"B (7:30-8:00), L (11:30-12:00)",06/09/25-07/18/25 (M-F) Closed 07/04/25
Newberry High School,"400 SW 258th Street, Newberry","400 SW 258th St, Newberry, FL, 32669, USA",-82.61544,29.64255,B (8:30-9:00) L (11:30-12:00),"06/09/25-07/02/25 (M-TH) Closed Thursday 06/19/25, Open Friday 06/20/25"
North Central FL Community Center,"5201 NW 34th Blvd, Gainesville","5201 NW 34th Blvd, Gainesville, FL, 32605, USA",-82.36632,29.70127,"B (9:00-9:30), L (11:15-12:00)","06/09/25-07/25/25 (M-F) Closed 06/19/25, 07/03/25-07/04/25"
Norton Elementary,"2200 NW 45th Avenue, Gainesville","2200 NW 45th Ave, Gainesville, FL, 32605, USA",-82.35435,29.69648,"B (7:30-8:30), L (11:00-12:15)",06/09/25-07/18/25 (M-F) Closed 07/04/25
One Room School House,"3930 NE 15th Street, Gainesville","3930 NE 15th St, Gainesville, FL, 32609, USA",-82.30695,29.68891,"B (7:30-8:00), L (11:30-12:00)",05/27/25-06/27/25 (M-F) Closed 06/19/25
Parker Elementary,"1912 NW 5th Avenue, Gainesville","1912 NW 5th Ave, Gainesville, FL, 32603, USA",-82.34872,29.65653,"B (7:30-8:00), L (10:45-11:30)",06/09/25-07/18/25 (M-F) Closed 07/04/25
Phoenix Apartments,"3113-B SW 26th Drive, Gainesville","3113 SW 26th Dr, Gainesville, FL, 32608, USA",-82.36164,29.62245,B (8:00-8:30),06/09/25-07/25/25 (M-F) Closed 06/19/25 & 07/04/25
