Location,Address,FullAddress,Longitude,Latitude,Meal Times,Dates of Service,2025-06-09,2025-06-10,2025-06-11,2025-06-12,2025-06-13,2025-06-14,2025-06-15,2025-06-16,2025-06-17,2025-06-18,2025-06-19,2025-06-20,2025-06-21,2025-06-22,2025-06-23,2025-06-24,2025-06-25,2025-06-26,2025-06-27,2025-06-28,2025-06-29,2025-06-30,2025-07-01,2025-07-02,2025-07-03,2025-07-04,2025-07-05,2025-07-06,2025-07-07,2025-07-08,2025-07-09,2025-07-10,2025-07-11,2025-07-12,2025-07-13,2025-07-14,2025-07-15,2025-07-16,2025-07-17,2025-07-18,2025-07-19,2025-07-20,2025-07-21,2025-07-22,2025-07-23,2025-07-24,2025-07-25
Chiles Elementary,"2525 Schoolhouse Road, Gainesville","2525 School House Rd, Gainesville, FL, 32608, USA",-82.44463,29.62883,"B (7:30-8:00), L (11:30-12:00)",06/09/25-07/18/25 (M-F) Closed 07/04/25,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,,,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,,,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,,,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,,,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,,,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,07:30-08:00;11:30-12:00,,,,,,,
Cuscowilla,"210 SE 134th Avenue, Micanopy","210 SE 134th Ave, Micanopy, FL, 32667, USA",-82.31773,29.5334,B (8:00-8:45) L (12:00-12:30),"06/09/25-07/25/25 (M-F) Closed 06/19/25, 07/03/25-07/04/25; No lunch of Fridays",08:00-08:45,08:00-08:45,08:00-08:45,08:00-08:45,08:00-08:45,,,08:00-08:45,08:00-08:45,08:00-08:45,08:00-08:45,08:00-08:45,,,08:00-08:45,08:00-08:45,08:00-08:45,08:00-08:45,08:00-08:45,,,08:00-08:45,08:00-08:45,08:00-08:45,08:00-08:45,08:00-08:45,,,08:00-08:45,08:00-08:45,08:00-08:45,08:00-08:45,08:00-08:45,,,08:00-08:45,08:00-08:45,08:00-08:45,08:00-08:45,08:00-08:45,,,08:00-08:45,08:00-08:45,08:00-08:45,08:00-08:45,08:00-08:45
Deeper Purpose Community Church,"19930 N US Hwy. 441, Suite A, High Springs","19930 N US Highway 441, #A, High Springs, FL, 32643, USA",-82.60177,29.83659,"B (8:15-8:45), L (11:45-12:15)","06/09/25-07/25/25 (M-F) Closed 06/19/25, 07/03/25-07/04/25",08:15-08:45;11:45-12:15,08:15-08:45;11:45-12:15,08:15-08:45;11:45-12:15,08:15-08:45;11:45-12:15,08:15-08:45;11:45-12:15,,,08:15-08:45;11:45-12:15,08:15-08:45;11:45-12:15,08:15-08:45;11:45-12:15,08:15-08:45;11:45-12:15,08:15-08:45;11:45-12:15,,,08:15-08:45;11:45-12:15,08:15-08:45;11:45-12:15,08:15-08:45;11:45-12:15,08:15-08:45;11:45-12:15,08:15-08:45;11:45-12:15,,,08:15-08:45;11:45-12:15,08:15-08:45;11:45-12:15,08:15-08:45;11:45-12:15,08:15-08:45;11:45-12:15,08:15-08:45;11:45-12:15,,,08:15-08:45;11:45-12:15,08:15-08:45;11:45-12:15,08:15-08:45;11:45-12:15,08:15-08:45;11:45-12:15,08:15-08:45;11:45-12:15,,,08:15-08:45;11:45-12:15,08:15-08:45;11:45-12:15,08:15-08:45;11:45-12:15,08:15-08:45;11:45-12:15,08:15-08:45;11:45-12:15,,,08:15-08:45;11:45-12:15,08:15-08:45;11:45-12:15,08:15-08:45;11:45-12:15,08:15-08:45;11:45-12:15,08:15-08:45;11:45-12:15
Destiny Community Church,"20820 W Newberry Road, Newberry","20820 W Newberry Rd, Newberry, FL, 32669, USA",-82.56435,29.65681,"B (9:00-9:30), L (12:00-12:30)","06/09/25-07/25/25 (M-F) Closed 06/19/25, 06/23/25-06/27/25, 07/04/25",09:00-09:30;12:00-12:30,09:00-09:30;12:00-12:30,09:00-09:30;12:00-12:30,09:00-09:30;12:00-12:30,09:00-09:30;12:00-12:30,,,09:00-09:30;12:00-12:30,09:00-09:30;12:00-12:30,09:00-09:30;12:00-12:30,09:00-09:30;12:00-12:30,09:00-09:30;12:00-12:30,,,09:00-09:30;12:00-12:30,09:00-09:30;12:00-12:30,09:00-09:30;12:00-12:30,09:00-09:30;12:00-12:30,09:00-09:30;12:00-12:30,,,09:00-09:30;12:00-12:30,09:00-09:30;12:00-12:30,09:00-09:30;12:00-12:30,09:00-09:30;12:00-12:30,09:00-09:30;12:00-12:30,,,09:00-09:30;12:00-12:30,09:00-09:30;12:00-12:30,09:00-09:30;12:00-12:30,09:00-09:30;12:00-12:30,09:00-09:30;12:00-12:30,,,09:00-09:30;12:00-12:30,09:00-09:30;12:00-12:30,09:00-09:30;12:00-12:30,09:00-09:30;12:00-12:30,09:00-09:30;12:00-12:30,,,09:00-09:30;12:00-12:30,09:00-09:30;12:00-12:30,09:00-09:30;12:00-12:30,09:00-09:30;12:00-12:30,09:00-09:30;12:00-12:30
Early Learning Academy at Duval,"2106 NE 8th Avenue, Gainesville","2106 NE 8th Ave, Gainesville, FL, 32641, USA",-82.29695,29.65973,"B (7:30-8:00), L (11:00-11:30)","06/09/25-07/31/25 (M-TH) Closed Thursday 06/19/25, 07/03/25-07/04/25; Open Friday 06/20/25",07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,,,,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,,,,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,,,,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,,,,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,,,,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,,,,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,
Eastside High School,"1201 SE 43rd Street, Gainesville","1201 SE 43rd St, Gainesville, FL, 32641, USA",-82.26959,29.63983,"B (8:30-9:00), L (11:50-12:30)","06/09/25-07/02/25 (M-TH) Closed Thursday 06/19/25, Open Friday 06/20/25",08:30-09:00;11:50-12:30,08:30-09:00;11:50-12:30,08:30-09:00;11:50-12:30,08:30-09:00;11:50-12:30,,,,08:30-09:00;11:50-12:30,08:30-09:00;11:50-12:30,08:30-09:00;11:50-12:30,08:30-09:00;11:50-12:30,08:30-09:00;11:50-12:30,,,08:30-09:00;11:50-12:30,08:30-09:00;11:50-12:30,08:30-09:00;11:50-12:30,08:30-09:00;11:50-12:30,,,,08:30-09:00;11:50-12:30,08:30-09:00;11:50-12:30,08:30-09:00;11:50-12:30,,,,,,,,,,,,,,,,,,,,,,,
Eastside Community Center,"2841 E University Avenue, Gainesville","2841 E University Ave, Gainesville, FL, 32641, USA",-82.28747,29.65143,B (8:00-8:30) L (12:00-12:30),06/09/25-07/25/25 (M-F) Closed 06/19/25 & 07/04/25,08:00-08:30,08:00-08:30,08:00-08:30,08:00-08:30,08:00-08:30,,,08:00-08:30,08:00-08:30,08:00-08:30,08:00-08:30,08:00-08:30,,,08:00-08:30,08:00-08:30,08:00-08:30,08:00-08:30,08:00-08:30,,,08:00-08:30,08:00-08:30,08:00-08:30,08:00-08:30,08:00-08:30,,,08:00-08:30,08:00-08:30,08:00-08:30,08:00-08:30,08:00-08:30,,,08:00-08:30,08:00-08:30,08:00-08:30,08:00-08:30,08:00-08:30,,,08:00-08:30,08:00-08:30,08:00-08:30,08:00-08:30,08:00-08:30
Easton Newberry Sports Complex,"24880 NW 16th Avenue, Newberry","24880 NW 16th Ave, Newberry, FL, 32669, USA",-82.60405,29.66904,"B (8:00-8:30), L (11:00-11:30)","06/09/25-07/25/25 (M-F) Closed 06/19/25, 07/03/25-07/04/25",08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,,,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,,,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,,,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,,,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,,,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,,,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30
First Missionary Baptist Church,"1515 SE 15th Street, Gainesville","1515 SE 15th St, Gainesville, FL, 32641, USA",-82.30548,29.63673,"B (7:45-8:15), L (12:00-12:30)","06/09/25-07/11/25 (M-F) Closed 06/19/25, 07/03/25-07/04/25",07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,,,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,,,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,,,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,,,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,07:45-08:15;12:00-12:30,,,,,,,,,,,,,,
Freddie Warmack Park,"24505 Newberry Lane, Newberry","24505 Newberry Ln, Newberry, FL, 32669, USA",-82.60196,29.65369,B (8:25-8:55) L (11:30-12:00),"06/09/25-06/10/25 (M&T); 06/16/25-07/25/25 (M-F) Closed 06/19/25, 07/03/25-07/04/25. No lunch service on 06/10/25 and on Fridays.",08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55,08:25-08:55
